S.No,Module,Topic,Learning Objective (Sub Topic),Full Learning Objective,Bloom's Level,No. of Questions
83,JavaScript Basics,JavaScript Operators,Comparison operators,"Use comparison operators (==, ===, !=, !==, <, >, <=, >=) to evaluate Boolean expressions.",Applying,3
84,JavaScript Basics,JavaScript Operators,Logical operators,"Apply logical operators (&&, ||, !) to combine and negate Boolean conditions.",Applying,3
85,JavaScript Basics,JavaScript Functions and Events,Working with functions,Code reusable JavaScript functions using the function keyword and arrow function syntax.,Applying,3
86,JavaScript Basics,JavaScript Functions and Events,"Working with onclick, onload, mouse and onsubmit events","Apply event handlers (onclick, onload, onmouseover, onsubmit) to make webpages interactive.",Applying,3
87,JavaScript Basics,JS Objects and JS Boxes,Templates of an Object,Build JavaScript objects using literal syntax with key-value pairs for properties and methods.,Applying,3
88,JavaScript Basics,JS Objects and JS Boxes,"Alert, prompt and confirm boxes","Use alert(), prompt(), and confirm() to display dialogs and capture user input.",Applying,3
89,JavaScript Basics,JS Objects and JS Boxes,If-else statement,"Apply if, else if, and else statements to control program flow based on conditions.",Applying,3
90,JavaScript Basics,More with JS Objects,"Number, boolean and string objects","Describe the built-in Number, Boolean, and String objects and the methods each provides.",Understanding,2
91,JavaScript Basics,More with JS Objects,Arrays,"Use array methods (push, pop, shift, unshift, slice, splice) to manipulate ordered collections.",Applying,3
92,JavaScript Basics,More with JS Objects,FOR loop,Iterate through an array using a JavaScript for loop to access each element.,Applying,3
93,JavaScript Basics,More with JS Objects,JS Date and JS Math,"Apply Date and Math object methods to obtain dates, generate random numbers, and perform calculations.",Applying,3
94,JS Control Flow,Loops and Conditionals,String search,"Use string methods (indexOf, includes, search, match) to search within a string.",Applying,3
95,JS Control Flow,Loops and Conditionals,Date object and its properties,"Apply Date methods (getDate, getMonth, getFullYear, toISOString) to format and read date values.",Applying,3
96,JS Control Flow,Advanced Loops,Control statements and if-else,Apply if-else conditional statements to make decisions in a JavaScript program.,Applying,3
97,JS Control Flow,Advanced Loops,FOR loop,Iterate using a for loop with a known number of repetitions to process data.,Applying,3
98,JS Control Flow,Advanced Loops,WHILE loop and DO WHILE loop,Differentiate while and do-while loops based on when their condition is evaluated.,Understanding,2
99,JS Control Flow,Problem Solving 1,Advanced FOR loop,Use the for...of loop to iterate over iterable values such as arrays and strings.,Applying,3
100,JS Control Flow,Problem Solving 1,FOR IN loop,Apply the for...in loop to iterate over the enumerable properties of an object.,Applying,3
101,JS Control Flow,Problem Solving 1,SWITCH statement,Code a switch statement to handle multiple discrete case values cleanly.,Applying,3
102,JS Control Flow,Problem Solving 1,break and default keywords,Explain the role of the break statement in switch and the default case as a fallback.,Understanding,2
103,JS Control Flow,Problem Solving 2,Problem solving with JavaScript loops and conditionals,"Trace and solve programming problems that combine loops, conditionals, and array operations.",Analyzing,4
104,JS Advanced,"Validation, Errors and Debugging",Code debugging,"Debug JavaScript programs using browser DevTools, breakpoints, and console output.",Evaluating,4
105,JS Advanced,"Validation, Errors and Debugging",Validating forms,"Implement client-side form validation using JavaScript to check required fields, formats, and lengths.",Applying,3
106,JS Advanced,JS String and Date,JavaScript string methods,"Apply string methods (slice, substring, toUpperCase, toLowerCase, replace, split) to transform text.",Applying,3
107,JS Advanced,JS String and Date,JavaScript Date object and properties,Use Date object properties and methods to compute durations and format calendar dates.,Applying,3
108,Deployment,Web Hosting,Hosting the webpage,Deploy a static website to a hosting platform so it is accessible at a public URL.,Applying,3
109,Deployment,Web Hosting,Basics of a server,"Describe the role of a web server in serving HTML, CSS, and JavaScript files to a browser over HTTP.",Understanding,2
,,,,,TOTAL,300
