rowNumber,queueId,questionNumber,questionType,questionText,subject,courseLevel,module,topic,subtopic,learningObjective,bloomsLevel,difficultyLevel,difficultyRating,summary,options,payload,explanation,generationMetadata
11,python-mcq-level-1-introduction-to-py-r7-q1,Q1,mcq,"What does the following Python code display in the console?

```python
print(""Learning"", ""Python"", sep="": "")
```",Python,Level 1,Introduction to Python,Introduction to Python,Running a Python program,Apply the print() function to display a message to the console.,Applying,medium,3,One medium Applying-level MCQ on using print() to display formatted console output.,"[{""text"":""Learning: Python"",""correct"":true},{""text"":""Learning Python"",""correct"":false},{""text"":""Learning:Python"",""correct"":false},{""text"":""Learning, Python"",""correct"":false}]",,"The `sep` argument specifies the text placed between the two values. Here, it is a colon followed by a space, so the console displays `Learning: Python`.","{""version"":""coding_theoretical_mixed_v2"",""questionType"":""mcq"",""modelCallsPerQuestionType"":1,""source"":""syllabus/coding-subjects-syllabus.xlsx#Python"",""sourceRowNumber"":7,""questionBank"":""syllabus/Theory_Question_Bank_LO_wise_Python.csv"",""objectiveQuestionCount"":3,""course"":""Python"",""courseLevel"":""Level 1"",""module"":""Introduction to Python"",""topicType"":""Concept"",""topicFamily"":""Introduction to Python"",""bloomsLevel"":""Applying"",""bloomsVerb"":""Apply"",""cognitiveTier"":""Lower-Order"",""skillArea"":""mixed""}"
12,python-fitb-level-1-introduction-to-py-r7-q2,Q2,fitb,"A program stores a greeting in `message`; fill in the function name that displays its value in the console:
```python
message = ""Hello, Python!""
{{1}}(message)
```",Python,Level 1,Introduction to Python,Introduction to Python,Running a Python program,Apply the print() function to display a message to the console.,Applying,medium,3,One medium Applying-level fill-in-the-blank question on using Python's print() function to display a stored message.,[],"{""blanks"":[{""position"":1,""answer"":""print"",""acceptedAnswers"":[],""caseSensitive"":true}]}","The `print` function sends the value of `message` to the console. A common misconception is to use `input`, which reads data from the user rather than displaying existing data.","{""version"":""coding_theoretical_mixed_v2"",""questionType"":""fitb"",""modelCallsPerQuestionType"":1,""source"":""syllabus/coding-subjects-syllabus.xlsx#Python"",""sourceRowNumber"":7,""questionBank"":""syllabus/Theory_Question_Bank_LO_wise_Python.csv"",""objectiveQuestionCount"":3,""course"":""Python"",""courseLevel"":""Level 1"",""module"":""Introduction to Python"",""topicType"":""Concept"",""topicFamily"":""Introduction to Python"",""bloomsLevel"":""Applying"",""bloomsVerb"":""Apply"",""cognitiveTier"":""Lower-Order"",""skillArea"":""mixed""}"
13,python-mcq-level-1-introduction-to-py-r8-q1,Q1,mcq,"Consider this Python script:

value = 8
# value = 20
print(value)

What does the script display when it runs?",Python,Level 1,Introduction to Python,Introduction to Python,Running a Python program,Use the # symbol to add a single-line comment to a script.,Applying,medium,3,One medium-difficulty Applying-level MCQ about using a single-line comment to prevent code from executing.,"[{""text"":""8"",""correct"":true},{""text"":""20"",""correct"":false},{""text"":""28"",""correct"":false},{""text"":""The script raises a syntax error"",""correct"":false}]",,"The # symbol starts a single-line comment, so the line `value = 20` is ignored by Python. The variable keeps its original value of 8, which is printed. A common misconception is that a commented-out assignment still changes the variable.","{""version"":""coding_theoretical_mixed_v2"",""questionType"":""mcq"",""modelCallsPerQuestionType"":1,""source"":""syllabus/coding-subjects-syllabus.xlsx#Python"",""sourceRowNumber"":8,""questionBank"":""syllabus/Theory_Question_Bank_LO_wise_Python.csv"",""objectiveQuestionCount"":3,""course"":""Python"",""courseLevel"":""Level 1"",""module"":""Introduction to Python"",""topicType"":""Concept"",""topicFamily"":""Introduction to Python"",""bloomsLevel"":""Applying"",""bloomsVerb"":""Use"",""cognitiveTier"":""Lower-Order"",""skillArea"":""mixed""}"
14,python-dnd-level-1-introduction-to-py-r7-q3,Q3,dnd,Match each Python print() call to the console output it produces when run once.,Python,Level 1,Introduction to Python,Introduction to Python,Running a Python program,Apply the print() function to display a message to the console.,Applying,medium,3,A medium-level application task that matches print() calls to their console output.,[],"{""items"":[{""id"":""i1"",""label"":""print(\""Ready\"")""},{""id"":""i2"",""label"":""print(2 + 3)""},{""id"":""i3"",""label"":""print(\""Python\"", \""3\"")""},{""id"":""i4"",""label"":""print()""}],""targets"":[{""id"":""t1"",""label"":""The console displays Ready."",""correctItemId"":""i1""},{""id"":""t2"",""label"":""The console displays 5."",""correctItemId"":""i2""},{""id"":""t3"",""label"":""The console displays Python 3 with one space between the words."",""correctItemId"":""i3""},{""id"":""t4"",""label"":""The console displays a blank line."",""correctItemId"":""i4""}]}","print(""Ready"") displays the message Ready without quotation marks. print(2 + 3) evaluates the arithmetic expression before displaying the result 5. print(""Python"", ""3"") displays both arguments with Python's default separator, one space, producing Python 3. print() has no arguments, so it displays a blank line. The main misconception is expecting quotation marks to appear or forgetting that multiple arguments are separated by a space by default.","{""version"":""coding_theoretical_mixed_v2"",""questionType"":""dnd"",""modelCallsPerQuestionType"":1,""source"":""syllabus/coding-subjects-syllabus.xlsx#Python"",""sourceRowNumber"":7,""questionBank"":""syllabus/Theory_Question_Bank_LO_wise_Python.csv"",""objectiveQuestionCount"":3,""course"":""Python"",""courseLevel"":""Level 1"",""module"":""Introduction to Python"",""topicType"":""Concept"",""topicFamily"":""Introduction to Python"",""bloomsLevel"":""Applying"",""bloomsVerb"":""Apply"",""cognitiveTier"":""Lower-Order"",""skillArea"":""mixed""}"
15,python-fitb-level-1-introduction-to-py-r8-q2,Q2,fitb,"Complete the script so that `add the two values` is ignored as a comment and the program prints `5`:

```python
total = 2 + 3 {{1}} add the two values
print(total)
```",Python,Level 1,Introduction to Python,Introduction to Python,Running a Python program,Use the # symbol to add a single-line comment to a script.,Applying,medium,3,One medium Applying-level FITB question on using # for a single-line comment.,[],"{""blanks"":[{""position"":1,""answer"":""#"",""acceptedAnswers"":[],""caseSensitive"":false}]}","The # symbol starts a single-line comment in Python. Everything after # on that line is ignored, so total remains 5 and is printed.","{""version"":""coding_theoretical_mixed_v2"",""questionType"":""fitb"",""modelCallsPerQuestionType"":1,""source"":""syllabus/coding-subjects-syllabus.xlsx#Python"",""sourceRowNumber"":8,""questionBank"":""syllabus/Theory_Question_Bank_LO_wise_Python.csv"",""objectiveQuestionCount"":3,""course"":""Python"",""courseLevel"":""Level 1"",""module"":""Introduction to Python"",""topicType"":""Concept"",""topicFamily"":""Introduction to Python"",""bloomsLevel"":""Applying"",""bloomsVerb"":""Use"",""cognitiveTier"":""Lower-Order"",""skillArea"":""mixed""}"
16,python-mcq-level-1-introduction-to-py-r9-q1,Q1,mcq,"What kind of error occurs when this Python program is run?

```python
printt(""Hello"")
```",Python,Level 1,Introduction to Python,Introduction to Python,Running a Python program,Differentiate a syntax error from a runtime error using a small misspelled-print example.,Understanding,easy,2,One easy multiple-choice question distinguishing a syntax error from a runtime error in a misspelled print example.,"[{""text"":""A SyntaxError, because the print function name is misspelled"",""correct"":false},{""text"":""A NameError, because Python cannot find a name called `printt` during execution"",""correct"":true},{""text"":""A TypeError, because the string argument has the wrong type"",""correct"":false},{""text"":""No error, because Python treats `printt` as another spelling of `print`"",""correct"":false}]",,"The code is syntactically valid because the function-call structure and string are written correctly. When Python runs it, it cannot find a defined name called `printt`, so it raises a `NameError`, which is a runtime error. A syntax error would occur before execution if the code structure itself were invalid.","{""version"":""coding_theoretical_mixed_v2"",""questionType"":""mcq"",""modelCallsPerQuestionType"":1,""source"":""syllabus/coding-subjects-syllabus.xlsx#Python"",""sourceRowNumber"":9,""questionBank"":""syllabus/Theory_Question_Bank_LO_wise_Python.csv"",""objectiveQuestionCount"":2,""course"":""Python"",""courseLevel"":""Level 1"",""module"":""Introduction to Python"",""topicType"":""Concept"",""topicFamily"":""Introduction to Python"",""bloomsLevel"":""Understanding"",""bloomsVerb"":""Differentiate"",""cognitiveTier"":""Lower-Order"",""skillArea"":""mixed""}"
17,python-mcq-level-1-introduction-to-py-r10-q1,Q1,mcq,Which list correctly names the four core built-in Python data types introduced in this lesson?,Python,Level 1,Introduction to Python,Introduction to Python,First variables and data types,"List the four core built-in data types: int, float, str, bool.",Remembering,easy,1,One easy remembering-level MCQ covering the four core built-in Python data types.,"[{""text"":""int, float, str, bool"",""correct"":true},{""text"":""int, decimal, text, logical"",""correct"":false},{""text"":""number, string, list, tuple"",""correct"":false},{""text"":""integer, real, character, Boolean"",""correct"":false}]",,"The four core built-in data types are int for whole numbers, float for decimal numbers, str for text, and bool for True or False values. list is also a built-in type, but it is not one of the four types specified here.","{""version"":""coding_theoretical_mixed_v2"",""questionType"":""mcq"",""modelCallsPerQuestionType"":1,""source"":""syllabus/coding-subjects-syllabus.xlsx#Python"",""sourceRowNumber"":10,""questionBank"":""syllabus/Theory_Question_Bank_LO_wise_Python.csv"",""objectiveQuestionCount"":2,""course"":""Python"",""courseLevel"":""Level 1"",""module"":""Introduction to Python"",""topicType"":""Concept"",""topicFamily"":""Introduction to Python"",""bloomsLevel"":""Remembering"",""bloomsVerb"":""List"",""cognitiveTier"":""Lower-Order"",""skillArea"":""mixed""}"
18,python-fitb-level-1-introduction-to-py-r9-q2,Q2,fitb,"Consider the misspelled call `prit(""Hello"")`: because its syntax is valid but the name is undefined when Python executes it, this is a {{1}} error.",Python,Level 1,Introduction to Python,Introduction to Python,Running a Python program,Differentiate a syntax error from a runtime error using a small misspelled-print example.,Understanding,easy,1,One easy Understanding-level FITB question about distinguishing a runtime error from a syntax error.,[],"{""blanks"":[{""position"":1,""answer"":""runtime"",""acceptedAnswers"":[],""caseSensitive"":false}]}","The call is written using valid Python syntax, so Python can parse the program. The misspelled function name is discovered only during execution, causing a runtime error rather than a syntax error.","{""version"":""coding_theoretical_mixed_v2"",""questionType"":""fitb"",""modelCallsPerQuestionType"":1,""source"":""syllabus/coding-subjects-syllabus.xlsx#Python"",""sourceRowNumber"":9,""questionBank"":""syllabus/Theory_Question_Bank_LO_wise_Python.csv"",""objectiveQuestionCount"":2,""course"":""Python"",""courseLevel"":""Level 1"",""module"":""Introduction to Python"",""topicType"":""Concept"",""topicFamily"":""Introduction to Python"",""bloomsLevel"":""Understanding"",""bloomsVerb"":""Differentiate"",""cognitiveTier"":""Lower-Order"",""skillArea"":""mixed""}"
19,python-fitb-level-1-introduction-to-py-r10-q2,Q2,fitb,"The four core Python built-in data types are {{1}}, float, str, and bool.",Python,Level 1,Introduction to Python,Introduction to Python,First variables and data types,"List the four core built-in data types: int, float, str, bool.",Remembering,easy,1,One easy fill-in-the-blank question covering the four core Python built-in data types.,[],"{""blanks"":[{""position"":1,""answer"":""int"",""acceptedAnswers"":[],""caseSensitive"":true}]}","Python’s four core built-in data types in this lesson are int, float, str, and bool; the missing type is int, which represents whole numbers.","{""version"":""coding_theoretical_mixed_v2"",""questionType"":""fitb"",""modelCallsPerQuestionType"":1,""source"":""syllabus/coding-subjects-syllabus.xlsx#Python"",""sourceRowNumber"":10,""questionBank"":""syllabus/Theory_Question_Bank_LO_wise_Python.csv"",""objectiveQuestionCount"":2,""course"":""Python"",""courseLevel"":""Level 1"",""module"":""Introduction to Python"",""topicType"":""Concept"",""topicFamily"":""Introduction to Python"",""bloomsLevel"":""Remembering"",""bloomsVerb"":""List"",""cognitiveTier"":""Lower-Order"",""skillArea"":""mixed""}"
20,python-dnd-level-1-introduction-to-py-r8-q3,Q3,dnd,Match each Python script line to the effect it has when the program runs.,Python,Level 1,Introduction to Python,Introduction to Python,Running a Python program,Use the # symbol to add a single-line comment to a script.,Applying,medium,3,"One medium Applying-level drag-and-drop question about using # for full-line, trailing, and commented-out single-line comments.",[],"{""items"":[{""id"":""i1"",""label"":""# Start the program""},{""id"":""i2"",""label"":""print(\""Ready\"")  # show status""},{""id"":""i3"",""label"":""# print(\""Ready\"")""},{""id"":""i4"",""label"":""value = 3  # number of items""}],""targets"":[{""id"":""t1"",""label"":""Only a comment is present, so this line produces no output."",""correctItemId"":""i1""},{""id"":""t2"",""label"":""The print call runs, and the text after # is ignored."",""correctItemId"":""i2""},{""id"":""t3"",""label"":""The print call is disabled because # begins the comment before it."",""correctItemId"":""i3""},{""id"":""t4"",""label"":""The variable is assigned 3, and the trailing explanation is ignored."",""correctItemId"":""i4""}]}","`# Start the program` is a full-line comment, so Python ignores it and produces no output. In `print(""Ready"")  # show status`, the `print` call before `#` runs, while the trailing text is ignored. In `# print(""Ready"")`, the `#` appears before the statement, so the print call is disabled. In `value = 3  # number of items`, the assignment runs and stores 3 in `value`; the text after `#` is only a comment.","{""version"":""coding_theoretical_mixed_v2"",""questionType"":""dnd"",""modelCallsPerQuestionType"":1,""source"":""syllabus/coding-subjects-syllabus.xlsx#Python"",""sourceRowNumber"":8,""questionBank"":""syllabus/Theory_Question_Bank_LO_wise_Python.csv"",""objectiveQuestionCount"":3,""course"":""Python"",""courseLevel"":""Level 1"",""module"":""Introduction to Python"",""topicType"":""Concept"",""topicFamily"":""Introduction to Python"",""bloomsLevel"":""Applying"",""bloomsVerb"":""Use"",""cognitiveTier"":""Lower-Order"",""skillArea"":""mixed""}"
21,python-mcq-level-1-introduction-to-py-r11-q1,Q1,mcq,"What is printed when this Python code runs?

score = 7
score = score + 3
print(score)",Python,Level 1,Introduction to Python,Introduction to Python,First variables and data types,Apply the assignment operator = to bind a value to a variable name.,Applying,medium,3,One medium-difficulty Applying-level MCQ on using the assignment operator to rebind a variable.,"[{""text"":""7"",""correct"":false},{""text"":""3"",""correct"":false},{""text"":""10"",""correct"":true},{""text"":""An error occurs because score is assigned twice."",""correct"":false}]",,"The first assignment binds the name `score` to 7. The second assignment evaluates `score + 3` using the current value 7, producing 10, and then rebinds `score` to 10. The `=` operator assigns the evaluated right-hand value to the name on the left.","{""version"":""coding_theoretical_mixed_v2"",""questionType"":""mcq"",""modelCallsPerQuestionType"":1,""source"":""syllabus/coding-subjects-syllabus.xlsx#Python"",""sourceRowNumber"":11,""questionBank"":""syllabus/Theory_Question_Bank_LO_wise_Python.csv"",""objectiveQuestionCount"":3,""course"":""Python"",""courseLevel"":""Level 1"",""module"":""Introduction to Python"",""topicType"":""Concept"",""topicFamily"":""Introduction to Python"",""bloomsLevel"":""Applying"",""bloomsVerb"":""Apply"",""cognitiveTier"":""Lower-Order"",""skillArea"":""mixed""}"
22,python-fitb-level-1-introduction-to-py-r11-q2,Q2,fitb,"Complete the assignment so the second statement rebinds `count` and the final output is `5`:
```python
count = 2
count {{1}} 5
print(count)
```",Python,Level 1,Introduction to Python,Introduction to Python,First variables and data types,Apply the assignment operator = to bind a value to a variable name.,Applying,medium,3,One medium Applying-level FITB question on using the assignment operator to bind and rebind a variable.,[],"{""blanks"":[{""position"":1,""answer"":""="",""acceptedAnswers"":[],""caseSensitive"":false}]}","The `=` operator assigns the value on its right to the variable name on its left, so `count = 5` replaces the earlier binding of `count` to `2`. This is assignment, not the equality comparison operator `==`.","{""version"":""coding_theoretical_mixed_v2"",""questionType"":""fitb"",""modelCallsPerQuestionType"":1,""source"":""syllabus/coding-subjects-syllabus.xlsx#Python"",""sourceRowNumber"":11,""questionBank"":""syllabus/Theory_Question_Bank_LO_wise_Python.csv"",""objectiveQuestionCount"":3,""course"":""Python"",""courseLevel"":""Level 1"",""module"":""Introduction to Python"",""topicType"":""Concept"",""topicFamily"":""Introduction to Python"",""bloomsLevel"":""Applying"",""bloomsVerb"":""Apply"",""cognitiveTier"":""Lower-Order"",""skillArea"":""mixed""}"
