subject,topic,topic_subject_label,topic_grade,subtopic,learning_objective,learning_objective_code,is_current_version,question_question_type,question_lifecycle_status,question_retired_at,question_difficulty_band,question_difficulty_rating,question_bloom_level,question_usage_type,question_keywords,question_created_at,question_updated_at,question_grade_level,question_input_type,version_version_number,version_prompt,version_options,version_correct_answer,version_model_answer,version_explanation,version_payload,version_time_allocated_ms,version_created_at
math,Vedic Mathematics,math,grade 1,Mental Addition Tricks,Add fast with the Vedic addition technique,T395.S1.L1,true,fitb,active,,medium,3.0,apply,diagnostic,[],2026-05-21T11:04:37.440Z,2026-07-28T08:08:21.388Z,grade 1,number,1,Add in your head: 19 + 5 = ____.,,,,"19 is 1 less than 20. Add 1 to make 20, then add the rest: 20 + 4 = 24.","{""hint"":""Think 19 is almost 20."",""answer"":""24"",""visualMode"":null,""questionSvg"":null,""caseSensitive"":false,""acceptableAnswers"":[""24""]}",,2026-05-21T11:04:37.493Z
math,Vedic Mathematics,math,grade 1,Mental Addition Tricks,Add fast with the Vedic addition technique,T395.S1.L1,true,drag_drop,active,,easy,1.0,apply,diagnostic,[],2026-05-21T11:14:21.739Z,2026-05-21T11:14:21.996Z,grade 1,,1,"Drag each choice into the correct group: A puppy has 8 treats, and then gets 9 more treats. Choose the total number of treats.",,,,"Well done! 8 + 9 = 17. A quick way is 8 + 10 = 18, then take 1 away. Super work!","{""mode"":""classify"",""items"":[{""id"":""item_1"",""label"":""16""},{""id"":""item_2"",""label"":""17""},{""id"":""item_3"",""label"":""18""},{""id"":""item_4"",""label"":""19""}],""targets"":[{""id"":""target_1"",""label"":""Correct answer""},{""id"":""target_2"",""label"":""Not correct""}],""answerKey"":[{""itemId"":""item_1"",""targetId"":""target_2""},{""itemId"":""item_2"",""targetId"":""target_1""},{""itemId"":""item_3"",""targetId"":""target_2""},{""itemId"":""item_4"",""targetId"":""target_2""}],""visualMode"":null,""questionSvg"":null,""scoringGuidance"":""Well done! 8 + 9 = 17. A quick way is 8 + 10 = 18, then take 1 away. Super work!""}",,2026-05-21T11:14:21.894Z
math,Vedic Mathematics,math,grade 1,Mental Addition Tricks,Add fast with the Vedic addition technique,T395.S1.L1,true,mcq,active,,easy,1.0,analyze,diagnostic,[],2026-05-21T11:18:26.703Z,2026-05-21T11:18:26.993Z,grade 1,,1,Look at the sums 10 + 7 and 9 + 7. Decide which comparison is correct.,"[{""text"":""9 + 7 is 1 more than 10 + 7"",""correct"":false},{""text"":""9 + 7 is 1 less than 10 + 7"",""correct"":true},{""text"":""9 + 7 is the same as 10 + 7"",""correct"":false},{""text"":""9 + 7 is 2 less than 10 + 7"",""correct"":false}]",9 + 7 is 1 less than 10 + 7,,"Excellent! 10 + 7 = 17, so 9 + 7 = 16. That is 1 less. You spotted the quick pattern!","{""focus"":""addition"",""grade"":1,""topic"":""Vedic Mathematics"",""subject"":""Maths"",""subtopic"":""Mental Addition Tricks"",""visualMode"":null,""questionSvg"":null,""questionType"":""mcq"",""questionNumber"":""Q4"",""learning_objective"":""Students can use the Vedic addition technique to add numbers quickly mentally""}",,2026-05-21T11:18:26.801Z
math,Vedic Mathematics,math,grade 1,Mental Addition Tricks,Add fast with the Vedic addition technique,T395.S1.L1,true,mcq,active,,easy,1.0,understand,diagnostic,[],2026-05-21T11:18:26.804Z,2026-05-21T11:18:27.044Z,grade 1,,1,Choose the equation that shows a quick way to add 9 + 4.,"[{""text"":""9 + 4 = 10 + 3 = 13"",""correct"":true},{""text"":""9 + 4 = 10 + 4 = 14"",""correct"":false},{""text"":""9 + 4 = 9 + 5 = 14"",""correct"":false},{""text"":""9 + 4 = 8 + 4 = 12"",""correct"":false}]",9 + 4 = 10 + 3 = 13,,"9 needs 1 more to make 10. Take 1 from 4, leaving 3. Then 10 + 3 = 13. So the correct equation is 9 + 4 = 10 + 3 = 13. The other choices change the numbers in the wrong way.","{""focus"":""addition"",""grade"":1,""topic"":""Vedic Mathematics"",""subject"":""Maths"",""subtopic"":""Mental Addition Tricks"",""visualMode"":null,""questionSvg"":null,""questionType"":""mcq"",""questionNumber"":""Q5"",""learning_objective"":""Students can use the Vedic addition technique to add numbers quickly mentally""}",,2026-05-21T11:18:26.997Z
math,Vedic Mathematics,math,grade 1,Mental Addition Tricks,Add fast with the Vedic addition technique,T395.S1.L1,true,mcq,active,,easy,1.0,apply,diagnostic,[],2026-05-21T11:18:26.804Z,2026-05-21T11:18:27.044Z,grade 1,,1,Pick the correct answer for 29 + 1 with a fast mental trick.,"[{""text"":""28"",""correct"":false},{""text"":""29"",""correct"":false},{""text"":""30"",""correct"":true},{""text"":""31"",""correct"":false}]",30,,You got it! 29 + 1 = 30. That makes a full ten. Nice and quick!,"{""focus"":""addition"",""grade"":1,""topic"":""Vedic Mathematics"",""subject"":""Maths"",""subtopic"":""Mental Addition Tricks"",""visualMode"":null,""questionSvg"":null,""questionType"":""mcq"",""questionNumber"":""Q6"",""learning_objective"":""Students can use the Vedic addition technique to add numbers quickly mentally""}",,2026-05-21T11:18:26.995Z
math,Vedic Mathematics,math,grade 1,Mental Addition Tricks,Add fast with the Vedic addition technique,T395.S1.L1,true,mcq,active,,easy,1.0,understand,diagnostic,[],2026-05-21T11:18:26.804Z,2026-05-21T11:18:27.044Z,grade 1,,1,What is 19 + 1?,"[{""text"":""10"",""correct"":false},{""text"":""20"",""correct"":true},{""text"":""21"",""correct"":false},{""text"":""29"",""correct"":false}]",20,,"19 + 1 = 20. Adding 1 to 19 reaches the next ten. So 20 is correct. 10 is too small, 21 is 1 too much, and 29 is not the sum.","{""focus"":""addition"",""grade"":1,""topic"":""Vedic Mathematics"",""subject"":""Maths"",""subtopic"":""Mental Addition Tricks"",""visualMode"":null,""questionSvg"":null,""questionType"":""mcq"",""questionNumber"":""Q7"",""learning_objective"":""Students can use the Vedic addition technique to add numbers quickly mentally""}",,2026-05-21T11:18:26.996Z
math,Vedic Mathematics,math,grade 1,Mental Addition Tricks,Add fast with the Vedic addition technique,T395.S1.L1,true,mcq,active,,easy,1.0,apply,diagnostic,[],2026-05-21T11:18:26.996Z,2026-05-21T11:18:27.079Z,grade 1,,1,A toy box has 19 cars. Then 2 more cars roll in. Choose the total number of cars.,"[{""text"":""20"",""correct"":false},{""text"":""21"",""correct"":true},{""text"":""22"",""correct"":false},{""text"":""23"",""correct"":false}]",21,,Nice work! 19 + 2 = 21. Think 20 + 1. That is a smart mental trick!,"{""focus"":""addition"",""grade"":1,""topic"":""Vedic Mathematics"",""subject"":""Maths"",""subtopic"":""Mental Addition Tricks"",""visualMode"":null,""questionSvg"":null,""questionType"":""mcq"",""questionNumber"":""Q8"",""learning_objective"":""Students can use the Vedic addition technique to add numbers quickly mentally""}",,2026-05-21T11:18:27.045Z
math,Vedic Mathematics,math,grade 1,Mental Addition Tricks,Add fast with the Vedic addition technique,T395.S1.L1,true,mcq,active,,easy,1.0,analyze,diagnostic,[],2026-05-21T11:18:26.998Z,2026-05-21T11:18:27.084Z,grade 1,,1,Compare 19 + 1 and 20 + 1. Which statement is correct?,"[{""text"":""19 + 1 is 1 less than 20 + 1."",""correct"":true},{""text"":""19 + 1 is 1 more than 20 + 1."",""correct"":false},{""text"":""19 + 1 is the same as 20 + 1."",""correct"":false},{""text"":""19 + 1 is 2 less than 20 + 1."",""correct"":false}]",19 + 1 is 1 less than 20 + 1.,,"19 + 1 = 20, and 20 + 1 = 21. Since 20 is 1 less than 21, the correct statement is that 19 + 1 is 1 less than 20 + 1. The other options do not match the two sums.","{""focus"":""addition"",""grade"":1,""topic"":""Vedic Mathematics"",""subject"":""Maths"",""subtopic"":""Mental Addition Tricks"",""visualMode"":null,""questionSvg"":null,""questionType"":""mcq"",""questionNumber"":""Q9"",""learning_objective"":""Students can use the Vedic addition technique to add numbers quickly mentally""}",,2026-05-21T11:18:27.046Z
math,Vedic Mathematics,math,grade 1,Mental Addition Tricks,Add fast with the Vedic addition technique,T395.S1.L1,true,mcq,active,,easy,1.0,understand,diagnostic,[],2026-05-21T11:18:26.998Z,2026-05-21T11:18:27.084Z,grade 1,,1,Choose the equation that matches making a ten in 8 + 2.,"[{""text"":""8 + 2 = 9"",""correct"":false},{""text"":""8 + 2 = 10"",""correct"":true},{""text"":""8 + 2 = 11"",""correct"":false},{""text"":""8 + 2 = 12"",""correct"":false}]",8 + 2 = 10,,Great! 8 and 2 make 10. Making ten is a very helpful mental addition trick.,"{""focus"":""addition"",""grade"":1,""topic"":""Vedic Mathematics"",""subject"":""Maths"",""subtopic"":""Mental Addition Tricks"",""visualMode"":null,""questionSvg"":null,""questionType"":""mcq"",""questionNumber"":""Q10"",""learning_objective"":""Students can use the Vedic addition technique to add numbers quickly mentally""}",,2026-05-21T11:18:27.047Z
math,Vedic Mathematics,math,grade 1,Mental Addition Tricks,Add fast with the Vedic addition technique,T395.S1.L1,true,mcq,active,,easy,1.0,apply,diagnostic,[],2026-05-21T11:18:27.069Z,2026-05-21T11:18:27.140Z,grade 1,,1,What is 19 + 2?,"[{""text"":""20"",""correct"":false},{""text"":""21"",""correct"":true},{""text"":""22"",""correct"":false},{""text"":""23"",""correct"":false}]",21,,"19 + 2 = 21. You can think 19 + 1 = 20, then add 1 more to get 21. So 21 is correct. 20 is too small, and 22 and 23 are too large.","{""focus"":""addition"",""grade"":1,""topic"":""Vedic Mathematics"",""subject"":""Maths"",""subtopic"":""Mental Addition Tricks"",""visualMode"":null,""questionSvg"":null,""questionType"":""mcq"",""questionNumber"":""Q11"",""learning_objective"":""Students can use the Vedic addition technique to add numbers quickly mentally""}",,2026-05-21T11:18:27.105Z
math,Vedic Mathematics,math,grade 1,Mental Addition Tricks,Add fast with the Vedic addition technique,T395.S1.L1,true,mcq,active,,easy,1.0,understand,diagnostic,[],2026-05-21T11:18:27.072Z,2026-05-21T11:18:27.167Z,grade 1,,1,Which equation correctly shows 39 + 1?,"[{""text"":""39 + 1 = 30"",""correct"":false},{""text"":""39 + 1 = 39"",""correct"":false},{""text"":""39 + 1 = 40"",""correct"":true},{""text"":""39 + 1 = 41"",""correct"":false}]",39 + 1 = 40,,39 + 1 = 40 because adding 1 moves to the next number. It also reaches the next ten. So 39 + 1 = 40 is the correct equation. The other equations show the wrong total.,"{""focus"":""addition"",""grade"":1,""topic"":""Vedic Mathematics"",""subject"":""Maths"",""subtopic"":""Mental Addition Tricks"",""visualMode"":null,""questionSvg"":null,""questionType"":""mcq"",""questionNumber"":""Q12"",""learning_objective"":""Students can use the Vedic addition technique to add numbers quickly mentally""}",,2026-05-21T11:18:27.107Z
math,Vedic Mathematics,math,grade 1,Mental Addition Tricks,Add fast with the Vedic addition technique,T395.S1.L1,true,mcq,active,,easy,1.0,apply,diagnostic,[],2026-05-21T11:18:27.079Z,2026-05-21T11:18:27.171Z,grade 1,,1,A sticker book has 19 star stickers. Then 1 more star sticker is added. How many stickers are there now?,"[{""text"":""19"",""correct"":false},{""text"":""20"",""correct"":true},{""text"":""21"",""correct"":false},{""text"":""29"",""correct"":false}]",20,,"Start with 19 stickers and add 1 more: 19 + 1 = 20. So there are 20 stickers now. 19 means no sticker was added, 21 is 1 too many, and 29 is not the total.","{""focus"":""addition"",""grade"":1,""topic"":""Vedic Mathematics"",""subject"":""Maths"",""subtopic"":""Mental Addition Tricks"",""visualMode"":null,""questionSvg"":null,""questionType"":""mcq"",""questionNumber"":""Q13"",""learning_objective"":""Students can use the Vedic addition technique to add numbers quickly mentally""}",,2026-05-21T11:18:27.129Z
math,Vedic Mathematics,math,grade 1,Mental Addition Tricks,Add fast with the Vedic addition technique,T395.S1.L1,true,mcq,active,,easy,1.0,analyze,diagnostic,[],2026-05-21T11:18:27.081Z,2026-05-21T11:18:27.175Z,grade 1,,1,Look at the sums 19 + 1 and 20 + 1. Decide which comparison is correct.,"[{""text"":""19 + 1 is bigger than 20 + 1"",""correct"":false},{""text"":""19 + 1 is the same as 20 + 1"",""correct"":false},{""text"":""19 + 1 is 1 less than 20 + 1"",""correct"":true},{""text"":""19 + 1 is 2 less than 20 + 1"",""correct"":false}]",19 + 1 is 1 less than 20 + 1,,Excellent thinking! 19 + 1 = 20 and 20 + 1 = 21. So the first sum is 1 less than the second.,"{""focus"":""addition"",""grade"":1,""topic"":""Vedic Mathematics"",""subject"":""Maths"",""subtopic"":""Mental Addition Tricks"",""visualMode"":null,""questionSvg"":null,""questionType"":""mcq"",""questionNumber"":""Q14"",""learning_objective"":""Students can use the Vedic addition technique to add numbers quickly mentally""}",,2026-05-21T11:18:27.130Z
math,Vedic Mathematics,math,grade 1,Mental Addition Tricks,Add fast with the Vedic addition technique,T395.S1.L1,true,mcq,active,,medium,2.0,apply,diagnostic,[],2026-05-21T11:18:27.084Z,2026-05-21T11:18:27.505Z,grade 1,,1,A child has 9 red blocks and 8 blue blocks. Which equation shows a quick make-10 way to find how many blocks there are altogether?,"[{""text"":""9 + 8 = 10 + 7 = 17"",""correct"":true},{""text"":""9 + 8 = 10 + 8 = 18"",""correct"":false},{""text"":""9 + 8 = 9 + 9 = 18"",""correct"":false},{""text"":""9 + 8 = 8 + 1 = 9"",""correct"":false}]",9 + 8 = 10 + 7 = 17,,"To make 10, give 1 from the 8 blue blocks to the 9 red blocks. Then 9 + 8 becomes 10 + 7, and 10 + 7 = 17. So the correct equation is 9 + 8 = 10 + 7 = 17. The other options do not keep the total the same.","{""focus"":""operation_reasoning"",""grade"":1,""topic"":""Vedic Mathematics"",""subject"":""Maths"",""subtopic"":""Mental Addition Tricks"",""visualMode"":null,""questionSvg"":null,""questionType"":""mcq"",""questionNumber"":""Q15"",""learning_objective"":""Students can use the Vedic addition technique to add numbers quickly mentally""}",,2026-05-21T11:18:27.134Z
math,Vedic Mathematics,math,grade 1,Mental Addition Tricks,Add fast with the Vedic addition technique,T395.S1.L1,true,mcq,active,,medium,2.0,apply,diagnostic,[],2026-05-21T11:18:27.106Z,2026-05-21T11:18:27.177Z,grade 1,,1,"A toy box has 19 cars. Then 6 more cars are put in. If you make 20 first in your head, how many cars are in the box now?","[{""text"":""24"",""correct"":false},{""text"":""25"",""correct"":true},{""text"":""26"",""correct"":false},{""text"":""15"",""correct"":false}]",25,,"Start with 19 + 6. Move 1 from 6 to 19 to make 20, leaving 5. Then 20 + 5 = 25. So the box has 25 cars. 24 is 1 too small, 26 is 1 too large, and 15 is far too small.","{""focus"":""which_value"",""grade"":1,""topic"":""Vedic Mathematics"",""subject"":""Maths"",""subtopic"":""Mental Addition Tricks"",""visualMode"":null,""questionSvg"":null,""questionType"":""mcq"",""questionNumber"":""Q16"",""learning_objective"":""Students can use the Vedic addition technique to add numbers quickly mentally""}",,2026-05-21T11:18:27.141Z
math,Vedic Mathematics,math,grade 1,Mental Addition Tricks,Add fast with the Vedic addition technique,T395.S1.L1,true,mcq,active,,medium,2.0,apply,diagnostic,[],2026-05-21T11:18:27.126Z,2026-05-21T11:18:27.224Z,grade 1,,1,"A bunny found 8 carrots in one patch and 7 carrots in another patch. Using a quick make-10 trick, how many carrots does the bunny have?","[{""text"":""14"",""correct"":false},{""text"":""15"",""correct"":true},{""text"":""16"",""correct"":false},{""text"":""17"",""correct"":false}]",15,,"Well done! 8 takes 2 from 7 to make 10, and 5 is left. So 10 + 5 = 15.","{""focus"":""word_context"",""grade"":1,""topic"":""Vedic Mathematics"",""subject"":""Maths"",""subtopic"":""Mental Addition Tricks"",""visualMode"":null,""questionSvg"":null,""questionType"":""mcq"",""questionNumber"":""Q18"",""learning_objective"":""Students can use the Vedic addition technique to add numbers quickly mentally""}",,2026-05-21T11:18:27.170Z
math,Vedic Mathematics,math,grade 1,Mental Addition Tricks,Add fast with the Vedic addition technique,T395.S1.L1,true,mcq,active,,medium,2.0,understand,diagnostic,[],2026-05-21T11:18:27.127Z,2026-05-21T11:18:27.223Z,grade 1,,1,A child has 29 marbles and gets 4 more. Which equation shows a quick way to find the total?,"[{""text"":""29 + 4 = 30 + 3 = 33"",""correct"":true},{""text"":""29 + 4 = 20 + 4 = 24"",""correct"":false},{""text"":""29 + 4 = 30 + 4 = 34"",""correct"":false},{""text"":""29 + 4 = 29 + 3 = 32"",""correct"":false}]",29 + 4 = 30 + 3 = 33,,"29 needs 1 more to make 30. Take that 1 from the 4, leaving 3. Then 29 + 4 becomes 30 + 3, and 30 + 3 = 33. So the first equation is correct. The other options change the total incorrectly.","{""focus"":""which_statement"",""grade"":1,""topic"":""Vedic Mathematics"",""subject"":""Maths"",""subtopic"":""Mental Addition Tricks"",""visualMode"":null,""questionSvg"":null,""questionType"":""mcq"",""questionNumber"":""Q17"",""learning_objective"":""Students can use the Vedic addition technique to add numbers quickly mentally""}",,2026-05-21T11:18:27.169Z
math,Vedic Mathematics,math,grade 1,Mental Addition Tricks,Add fast with the Vedic addition technique,T395.S1.L1,true,mcq,active,,medium,2.0,understand,diagnostic,[],2026-05-21T11:18:27.131Z,2026-05-21T11:18:27.223Z,grade 1,,1,Decide which claim about 18 + 5 is true when you use a quick mental addition trick.,"[{""text"":""Move 2 from 5 to 18, make 20, then add 3 more to get 23."",""correct"":true},{""text"":""Move 1 from 5 to 18, make 19, then add 4 more to get 24."",""correct"":false},{""text"":""Move 5 from 18 to 5, make 10, then get 13."",""correct"":false},{""text"":""Add 8 and 5 first to get 12, then put back the 1."",""correct"":false}]","Move 2 from 5 to 18, make 20, then add 3 more to get 23.",,"Lovely job! 18 needs 2 to make 20. That leaves 3, so 20 + 3 = 23.","{""focus"":""which_statement"",""grade"":1,""topic"":""Vedic Mathematics"",""subject"":""Maths"",""subtopic"":""Mental Addition Tricks"",""visualMode"":null,""questionSvg"":null,""questionType"":""mcq"",""questionNumber"":""Q22"",""learning_objective"":""Students can use the Vedic addition technique to add numbers quickly mentally""}",,2026-05-21T11:18:27.172Z
math,Vedic Mathematics,math,grade 1,Mental Addition Tricks,Add fast with the Vedic addition technique,T395.S1.L1,true,mcq,active,,medium,3.0,analyze,diagnostic,[],2026-05-21T11:18:27.132Z,2026-05-21T11:18:27.230Z,grade 1,,1,"Look at the quick steps for 38 + 5: first make 40 by adding 2, then add the 3 left. Decide which answer matches those steps.","[{""text"":""41"",""correct"":false},{""text"":""42"",""correct"":false},{""text"":""43"",""correct"":true},{""text"":""45"",""correct"":false}]",43,,"Fantastic! 38 + 2 = 40, and 3 more makes 43. The steps lead to 43.","{""focus"":""compare_or_judge"",""grade"":1,""topic"":""Vedic Mathematics"",""subject"":""Maths"",""subtopic"":""Mental Addition Tricks"",""visualMode"":null,""questionSvg"":null,""questionType"":""mcq"",""questionNumber"":""Q19"",""learning_objective"":""Students can use the Vedic addition technique to add numbers quickly mentally""}",,2026-05-21T11:18:27.176Z
